Parameters: 46375258
Epoch	Loss(Tr)	Loss(val)	Loss(Ts)	Loss(Tr)std	Loss(val)std	Loss(Ts)std	Loss(0_1)	Loss(0_2)	Loss(0_3)	Loss(0_1)std	Loss(0_2)std	Loss(0_3)std	SNR(Tr_i_t)	SNR(val_i_t)	SNR(Ts_i_t)	SNR(Tr_i_t)std	SNR(val_i_t)std	SNR(Ts_i_t)std	SNR(Tr_i_o)	SNR(val_i_o)	SNR(Ts_i_o)	SNR(Tr_i_o)std	SNR(val_i_o)std	SNR(Ts_i_o)std	Learning_rate	Time
33	0.6113		0.7569		0.7685		0.0665		0.0776		0.1109		0.0645		0.0639		0.0637		0.0108		0.0088		0.0080		17.4376		17.6533		16.2652		1.3668		1.1478		1.7027		12.5624		12.0830		12.0566		0.2439		0.3468		0.3947		0.0100		304.9831
34	0.6008		0.7319		0.7492		0.0704		0.1034		0.1189		0.0626		0.0623		0.0624		0.0093		0.0100		0.0100		17.3078		17.2905		16.6648		1.3100		1.1341		0.9335		12.6762		12.9848		12.9667		0.2156		0.2870		0.3065		0.0100		307.6128
35	0.6128		0.7465		0.7701		0.0728		0.0807		0.1074		0.0644		0.0635		0.0646		0.0093		0.0086		0.0087		17.3356		17.1580		16.4661		1.2487		1.1168		1.2078		12.6572		12.4007		12.3681		0.2499		0.3265		0.4001		0.0100		306.0638
36	0.5991		0.7208		0.7709		0.0673		0.1135		0.1162		0.0649		0.0638		0.0640		0.0096		0.0096		0.0095		17.2741		17.6779		16.6894		1.2363		1.3908		1.2428		12.7638		12.6989		12.5559		0.2385		0.4306		0.4509		0.0100		309.3209
37	0.5963		0.7319		0.7651		0.0724		0.1194		0.1110		0.0645		0.0633		0.0635		0.0092		0.0091		0.0091		17.3803		17.6176		17.0014		1.2085		1.0206		1.4162		12.8268		12.6198		12.6520		0.2554		0.3277		0.3466		0.0100		307.9081
38	0.6035		0.7973		0.7984		0.0780		0.1171		0.1134		0.0669		0.0660		0.0667		0.0099		0.0093		0.0088		17.4294		17.4836		16.5005		1.2485		1.1422		1.1187		12.8090		11.3181		11.3628		0.3239		0.3241		0.3391		0.0100		305.4563
39	0.5974		0.7307		0.7404		0.0695		0.0840		0.0927		0.0617		0.0613		0.0621		0.0074		0.0078		0.0076		17.3239		17.2765		16.3736		1.3138		1.0555		0.9966		12.8792		12.6598		12.5666		0.2401		0.3959		0.2823		0.0100		306.3043
40	0.5822		0.7258		0.7286		0.0673		0.0951		0.0897		0.0621		0.0597		0.0604		0.0075		0.0074		0.0075		17.5430		17.2234		16.9716		1.3650		1.0090		1.2985		12.9671		12.3975		12.5985		0.2300		0.3190		0.3037		0.0100		306.0206
41	0.5876		0.6937		0.7357		0.0638		0.1107		0.0880		0.0624		0.0610		0.0605		0.0074		0.0072		0.0071		17.3360		17.7501		16.5154		1.3174		0.9780		1.1969		12.9685		13.2097		13.1287		0.2550		0.2846		0.2945		0.0100		312.0332
42	0.5938		0.7724		0.7761		0.0731		0.0974		0.0908		0.0647		0.0646		0.0648		0.0075		0.0077		0.0074		17.4063		17.3937		16.7060		1.4233		1.3661		1.1432		13.0347		11.8727		11.9999		0.2900		0.4048		0.3840		0.0100		308.0982
43	0.5756		0.7098		0.7175		0.0683		0.0848		0.1089		0.0609		0.0592		0.0593		0.0090		0.0090		0.0090		17.3542		17.3442		16.6174		1.2130		1.1413		1.1148		13.1364		12.8682		12.9288		0.2526		0.2840		0.4002		0.0100		306.6542
44	0.5745		0.7514		0.7626		0.0680		0.0675		0.0777		0.0632		0.0631		0.0644		0.0066		0.0065		0.0064		17.4286		17.1027		16.9005		1.1933		1.2407		1.0894		13.1527		12.4395		12.3577		0.2410		0.2703		0.3450		0.0100		307.6324
45	0.5702		0.7641		0.7397		0.0657		0.0998		0.0877		0.0622		0.0614		0.0613		0.0075		0.0072		0.0071		17.4234		17.1786		16.3046		1.2398		1.0866		1.2442		13.2158		12.5169		12.4974		0.2846		0.3626		0.3581		0.0100		306.6160
46	0.5567		0.7126		0.7264		0.0575		0.0885		0.0708		0.0617		0.0599		0.0601		0.0057		0.0058		0.0062		17.4524		17.4220		16.9460		1.2465		1.2882		1.2438		13.3087		12.9994		13.0100		0.2697		0.3078		0.3415		0.0100		307.4338
47	0.5602		0.7199		0.7549		0.0591		0.1138		0.1069		0.0639		0.0620		0.0629		0.0094		0.0088		0.0082		17.3354		17.0186		16.6965		1.1846		0.9965		0.8796		13.2832		12.9947		12.9113		0.2557		0.2973		0.3300		0.0100		307.0240
48	0.5490		0.7173		0.7284		0.0618		0.0854		0.1113		0.0614		0.0605		0.0602		0.0094		0.0092		0.0089		17.3823		17.3181		16.6917		1.1532		1.1669		1.0394		13.3790		12.6933		12.8108		0.2547		0.3349		0.3005		0.0100		309.7928
49	0.5567		0.7429		0.7320		0.0684		0.0918		0.1024		0.0601		0.0611		0.0618		0.0079		0.0085		0.0090		17.4128		17.7442		16.6916		1.2315		1.2946		0.9552		13.3827		11.7772		11.9695		0.2550		0.3270		0.3302		0.0100		307.0384
50	0.5225		0.6663		0.6774		0.0635		0.1048		0.0884		0.0580		0.0558		0.0555		0.0071		0.0073		0.0074		17.3096		17.7273		16.7829		1.2177		1.1379		1.2415		13.6190		13.5793		13.4849		0.2725		0.2567		0.3470		0.0010		306.7675
51	0.5138		0.6682		0.7127		0.0598		0.0850		0.1566		0.0607		0.0589		0.0585		0.0134		0.0134		0.0118		17.4082		17.4766		16.5639		1.2637		0.8867		0.9300		13.6734		13.5305		13.4268		0.2547		0.3574		0.2978		0.0010		305.7261
52	0.5072		0.6851		0.6932		0.0605		0.0982		0.1406		0.0593		0.0572		0.0568		0.0120		0.0115		0.0112		17.4365		17.4103		16.5049		1.2376		0.9354		1.2560		13.6725		13.4093		13.4939		0.2652		0.4267		0.4694		0.0010		306.0330
53	0.5057		0.6678		0.6858		0.0597		0.0880		0.1140		0.0587		0.0565		0.0562		0.0102		0.0095		0.0085		17.4600		17.7042		16.3119		1.2752		0.9571		1.0586		13.6763		13.4877		13.4701		0.2448		0.2949		0.4088		0.0010		309.0029
54	0.5064		0.6755		0.6726		0.0566		0.1101		0.1020		0.0576		0.0555		0.0551		0.0086		0.0084		0.0083		17.3584		17.3133		17.0776		1.2547		1.0085		1.0372		13.6911		13.5422		13.5694		0.2340		0.3562		0.3421		0.0010		305.2417
55	0.5036		0.6870		0.6533		0.0548		0.0934		0.1040		0.0559		0.0539		0.0535		0.0085		0.0085		0.0087		17.2367		17.1671		16.9297		1.1963		0.8576		0.9455		13.7008		13.3832		13.6211		0.2630		0.3049		0.3204		0.0010		306.1746
56	0.5022		0.6561		0.6708		0.0596		0.0797		0.0819		0.0575		0.0553		0.0549		0.0070		0.0066		0.0067		17.4146		17.5187		16.3460		1.2897		1.1773		1.2737		13.7119		13.5830		13.4877		0.2536		0.3751		0.3972		0.0010		309.2786
57	0.5007		0.6573		0.6838		0.0534		0.0830		0.1124		0.0586		0.0565		0.0559		0.0095		0.0092		0.0091		17.3908		17.2385		16.7673		1.3336		1.1024		1.3258		13.7393		13.6209		13.6533		0.2522		0.3870		0.3983		0.0010		304.6615
58	0.4981		0.6484		0.6840		0.0560		0.1002		0.1351		0.0583		0.0566		0.0561		0.0112		0.0111		0.0111		17.4458		17.3399		16.5891		1.2790		1.0323		1.0070		13.7216		13.4974		13.6643		0.2629		0.3987		0.3564		0.0010		306.8733
59	0.4999		0.6493		0.6564		0.0646		0.0766		0.0917		0.0562		0.0542		0.0536		0.0078		0.0074		0.0075		17.3877		17.6542		16.4107		1.3046		1.0625		0.9782		13.7423		13.5619		13.5331		0.2453		0.3177		0.4039		0.0010		305.9018
